"indicator","Unit","Date","Value"
"Real GDP","million naira","2011",57511041.77
"Real GDP","million naira","2012",59929893.04
"Real GDP","million naira","2013",63218721.73
"Real GDP","million naira","2014",67152785.84
"Real GDP","million naira","2015",69144885.84
"Real GDP","million naira","2016",71758121.29
"Real GDP","million naira","2017",75369068.74
"Real GDP","million naira","2018",79596971.23
"Real GDP","million naira","2019",84064363.5
"Nominal GDP","million naira","2011",62980397.22
"Nominal GDP","million naira","2012",71713935.06
"Nominal GDP","million naira","2013",80092563.38
"Nominal GDP","million naira","2014",89043615.26
"Nominal GDP","million naira","2015",94268428.58
"Nominal GDP","million naira","2016",104203951.07
"Nominal GDP","million naira","2017",114054967.67
"Nominal GDP","million naira","2018",124332323.63
"Nominal GDP","million naira","2019",134950445.87
"Trade","million naira","2011",29333001.12
"Trade","million naira","2012",28071190.67
"Trade","million naira","2013",21261086.29
"Trade","million naira","2014",23459656.5
"Trade","million naira","2015",17759239.59
"Trade","million naira","2016",18186765.55
"Trade","million naira","2017",23844677.11
"Trade","million naira","2018",27973242.33
"Trade","million naira","2019",31228982.25
"Real GDP (%)","%","2011",5.31
"Real GDP (%)","%","2012",4.21
"Real GDP (%)","%","2013",5.49
"Real GDP (%)","%","2014",6.22
"Real GDP (%)","%","2015",2.97
"Real GDP (%)","%","2016",3.78
"Real GDP (%)","%","2017",5.03
"Real GDP (%)","%","2018",5.61
"Real GDP (%)","%","2019",5.61
"Trade (%)","%","2011",48.75
"Trade (%)","%","2012",-4.3
"Trade (%)","%","2013",-24.26
"Trade (%)","%","2014",10.34
"Trade (%)","%","2015",-24.3
"Trade (%)","%","2016",2.41
"Trade (%)","%","2017",31.11
"Trade (%)","%","2018",17.31
"Trade (%)","%","2019",11.64
"Inflation","%","2011",10.83
"Inflation","%","2012",12.22
"Inflation","%","2013",8.5
"Inflation","%","2014",7.98
"Inflation","%","2015",9.55
"Inflation","%","2016",10.16
"Inflation","%","2017",9.49
"Inflation","%","2018",8.67
"Inflation","%","2019",8.54
